clicks,views
0,1
0,2
1,4
0,1
3,5
2,2
2,6
1,1
0,1
0,1
1,7
0,1
2,7
0,1
2,2
1,5
1,4
4,18
0,1
3,9
17,39
0,1
0,2
1,6
0,1
0,1
3,19
0,1
2,9
7,21
0,1
0,2
0,1
0,4
0,2
2,8
3,11
0,3
4,1
8,32
1,2
2,2
2,3
1,1
1,2
2,2
1,3
6,21
1,5
6,27
4,11
11,44
3,12
1,3
0,1
1,6
11,34
2,4
3,7
0,4
1,1
3,7
3,11
28,72
0,2
1,2
0,3
2,4
1,1
0,7
0,1
1,2
1,4
4,1
2,3
0,1
0,1
0,2
5,11
0,1
0,1
2,2
1,7
0,3
3,9
1,2
1,2
0,1
7,14
0,1
1,3
1,1
0,5
5,17
0,3
0,1
5,19
1,3
3,1
2,8
0,1
9,2
1,4
1,3
10,24
1,3
0,2
0,1
1,2
3,5
2,18
0,2
0,2
0,1
0,1
0,1
0,1
0,2
1,2
1,1
3,15
5,19
2,5
2,8
0,3
0,1
0,4
0,1
0,4
3,7
2,6
0,2
4,27
0,6
1,1
1,1
0,1
0,6
0,7
0,3
8,13
1,1
1,3
0,1
2,5
1,3
0,1
0,1
1,1
2,6
1,5
1,5
1,2
6,4
16,6
2,2
1,1
4,1
1,9
3,11
0,1
1,11
0,1
8,26
1,1
0,3
5,9
0,1
5,8
2,5
4,14
6,15
4,9
10,2
0,2
3,7
1,5
0,2
2,4
11,31
0,2
2,4
0,2
7,34
1,4
1,1
2,5
1,1
0,2
1,1
0,1
0,2
1,8
2,4
4,13
2,3
0,2
1,15
6,18
0,2
1,1
1,1
0,1
5,14
0,2
4,16
2,4
0,2
1,3
2,3
0,1
1,2
1,2
3,5
0,1
5,9
0,2
5,1
0,1
1,9
1,1
0,1
3,1
2,5
3,4
0,5
1,5
0,2
2,8
0,3
72,237
4,8
0,1
1,2
2,14
3,15
12,39
0,1
1,2
2,2
4,7
2,4
1,3
1,2
1,4
2,4
3,9
0,3
0,2
2,3
3,12
3,4
1,2
0,2
1,4
0,4
1,8
1,1
8,53
3,19
7,18
5,19
1,3
1,3
8,25
0,3
1,2
1,2
9,29
2,4
1,2
0,1
0,3
1,1
2,3
1,2
0,3
0,2
0,1
1,1
4,9
0,3
2,3
2,1
1,1
4,24
1,3
0,3
1,1
5,13
2,6
0,1
4,16
0,3
4,19
2,8
1,2
7,23
1,1
1,3
3,22
0,2
1,5
0,1
0,3
0,1
0,1
5,17
3,6
0,1
0,3
1,1
0,3
1,5
5,9
5,8
1,1
1,1
0,1
0,1
0,1
1,1
1,5
1,1
0,1
1,4
0,5
2,3
1,2
1,2
1,3
1,1
2,12
2,8
15,61
2,8
0,2
1,2
1,5
2,9
0,1
3,12
10,23
2,1
1,2
0,4
2,8
2,5
1,1
0,1
2,9
4,6
1,1
2,11
1,1
0,4
0,1
2,2
4,1
1,2
2,5
4,7
2,5
0,2
0,2
8,21
0,2
1,1
2,4
0,1
1,4
1,1
0,1
1,2
0,1
1,1
2,17
0,3
5,17
1,4
5,13
0,2
1,4
6,2
2,13
16,54
10,16
1,5
2,4
2,4
1,2
3,9
2,4
0,2
1,1
0,7
1,5
0,1
4,11
1,1
1,4
5,19
3,9
6,25
3,5
2,2
0,12
2,3
0,1
0,1
1,6
0,5
1,2
1,1
1,4
0,3
2,2
7,37
1,2
0,2
1,1
3,5
0,1
0,7
2,5
2,11
0,2
0,1
0,1
0,1
9,21
4,9
23,47
8,23
2,2
0,2
3,7
1,2
1,7
1,1
1,1
0,1
14,59
1,2
6,11
0,1
25,78
0,2
1,4
4,12
3,4
5,15
3,1
31,105
0,2
1,4
5,8
0,1
0,2
2,8
0,1
2,1
1,11
13,23
1,2
0,6
0,2
6,21
0,5
15,44
2,6
0,6
0,1
4,9
0,2
1,2
1,1
2,9
1,5
2,2
0,1
1,2
3,7
1,1
2,11
0,1
0,2
2,9
0,3
2,6
11,24
0,2
1,1
2,2
1,4
3,13
1,2
1,1
5,9
4,7
1,3
1,4
5,16
2,4
12,5
0,1
3,2
1,2
0,3
3,5
1,2
0,1
1,3
2,4
4,4
2,2
4,13
3,4
7,14
0,3
1,1
1,3
5,16
0,1
11,34
0,1
0,8
1,3
1,1
0,1
0,1
1,3
4,14
3,1
0,3
0,1
2,8
0,1
1,3
1,1
0,2
3,14
4,17
0,3
2,4
1,1
0,1
0,2
0,6
0,3
1,3
1,3
0,1
1,1
2,9
1,4
3,9
0,2
2,8
0,1
1,1
0,1
0,3
1,3
1,4
1,1
1,4
2,4
2,5
3,4
1,4
0,2
1,1
1,2
4,14
0,4
1,8
2,2
0,6
0,1
1,9
0,3
3,12
0,3
1,2
7,31
0,1
0,1
1,7
2,5
1,1
0,2
0,1
2,7
2,2
1,1
1,5
6,17
3,7
9,39
0,1
3,11
0,1
2,2
2,7
0,2
2,3
4,17
1,7
0,1
0,1
0,1
0,2
1,1
0,1
15,48
0,4
5,15
1,1
6,18
0,1
5,11
1,2
2,4
29,72
0,1
2,6
0,1
1,4
3,1
8,24
1,4
0,4
1,1
2,5
0,3
1,3
0,1
0,1
1,2
1,1
3,19
1,5
1,3
1,6
0,3
1,8
10,18
0,1
2,3
3,22
0,3
0,1
0,2
0,2
0,1
5,21
1,2
1,2
1,2
1,11
1,8
1,4
5,7
0,1
1,2
1,2
1,2
1,3
2,16
0,1
5,13
4,7
1,1
0,2
4,22
1,2
11,29
2,3
3,5
3,5
34,119
0,1
1,2
2,5
0,2
4,8
2,6
6,17
1,3
0,3
0,1
0,1
2,6
3,9
0,2
2,5
1,2
0,1
4,11
100,291
1,2
1,7
1,1
2,8
0,1
1,2
0,2
6,16
0,1
15,47
1,3
10,33
0,9
2,4
3,9
0,1
14,35
0,1
0,3
0,1
1,12
1,1
0,2
0,1
4,13
0,4
3,1
0,1
1,4
5,2
1,1
0,1
1,1
0,1
0,4
3,7
0,2
0,1
1,2
5,12
7,21
1,3
14,5
0,1
1,6
2,7
0,1
0,1
1,2
3,5
1,1
0,1
2,5
0,1
3,4
0,1
5,1
1,4
1,3
0,1
0,1
0,1
1,8
1,2
3,7
13,47
0,3
2,2
0,3
1,3
0,2
0,5
1,1
5,1
3,5
0,3
0,2
5,14
0,3
4,17
1,5
5,25
1,2
1,1
0,2
0,1
0,2
1,2
3,21
1,3
1,5
1,2
1,1
2,2
1,1
2,8
2,5
2,1
6,29
0,1
2,12
2,1
1,1
1,2
14,32
0,2
3,11
13,18
1,1
1,5
1,1
1,5
1,2
1,2
5,15
0,1
1,5
0,1
2,4
7,18
2,4
0,2
0,5
0,6
0,1
0,4
1,2
6,25
2,7
0,1
0,4
1,3
0,2
1,6
0,2
1,7
4,21
1,4
0,1
0,1
7,19
1,3
2,2
2,2
55,188
0,1
0,4
1,2
1,2
1,3
9,25
0,1
2,7
1,1
0,1
0,1
0,5
0,1
1,1
1,1
1,3
4,18
0,1
1,3
10,22
0,1
3,14
0,3
0,2
0,1
2,9
0,2
0,1
1,1
