clicks,views
35,97
1,2
1,9
0,1
1,4
0,2
0,2
0,1
0,1
0,1
1,4
0,1
3,6
0,1
1,1
0,2
1,8
5,8
7,27
3,12
2,4
7,3
1,4
1,5
3,21
1,2
0,7
4,2
3,9
0,1
4,8
2,12
2,7
2,12
0,3
2,6
3,7
0,1
0,2
0,1
2,3
3,24
0,2
0,4
1,4
0,2
3,31
4,7
2,2
2,4
1,2
0,2
1,2
10,3
1,5
0,1
1,2
0,1
0,3
8,26
4,9
1,4
2,6
2,14
2,5
0,2
1,3
0,4
1,4
2,5
0,2
11,58
6,17
0,2
5,13
1,9
1,1
0,1
2,9
1,1
10,42
0,1
0,2
3,5
2,6
0,1
7,19
1,5
1,7
13,36
1,1
4,1
4,11
0,2
1,1
1,9
1,2
1,2
0,3
0,1
0,3
1,3
1,9
0,1
5,16
0,3
3,14
3,14
1,2
0,2
0,3
1,1
1,2
6,14
0,2
0,1
0,2
0,1
1,4
0,2
3,3
1,3
1,11
2,2
0,1
16,6
1,4
0,7
0,1
0,2
0,2
2,7
1,3
0,8
0,1
1,3
1,4
0,13
0,2
1,5
0,1
1,1
0,1
0,1
3,12
1,1
0,1
0,3
0,1
1,2
1,3
1,1
3,14
0,2
1,3
2,6
0,2
2,2
1,1
4,5
2,11
1,1
12,4
15,59
0,1
0,1
1,12
0,2
5,13
1,2
0,5
13,28
1,3
0,8
1,1
0,1
2,3
0,3
1,3
0,1
0,1
1,4
1,6
1,3
1,4
1,6
0,3
0,8
1,1
1,4
0,1
3,4
1,9
0,2
1,1
0,4
1,6
1,1
4,14
0,3
1,2
0,1
0,1
3,8
2,7
1,9
2,6
3,4
5,17
0,3
0,2
0,1
0,1
1,5
1,1
2,9
2,11
2,8
74,225
7,19
0,2
0,1
3,9
3,15
6,1
1,3
0,1
4,28
0,1
0,1
1,17
1,3
1,8
5,8
0,3
1,4
5,14
4,8
1,3
1,3
0,2
0,1
0,5
0,2
3,5
3,1
0,1
0,2
2,6
2,2
0,3
0,1
4,9
0,1
1,2
1,3
0,2
0,1
1,3
0,1
4,2
0,5
2,3
2,6
0,1
5,15
0,4
0,2
4,7
25,7
2,15
2,4
2,3
1,6
0,2
75,258
0,1
7,27
0,2
1,5
0,2
0,2
2,3
5,13
1,6
1,2
1,1
1,4
0,1
3,8
1,1
2,13
3,15
1,3
0,1
0,4
0,1
4,8
1,11
3,14
0,3
3,14
0,3
8,34
0,1
0,1
0,1
0,3
1,2
2,8
4,15
1,1
0,1
0,1
1,1
0,1
1,3
0,1
2,2
2,5
12,46
5,15
1,1
0,2
0,2
0,1
0,1
2,6
1,5
15,37
1,6
0,1
1,3
1,1
1,19
4,1
1,2
1,9
4,12
0,1
1,1
4,1
3,12
0,2
3,9
1,4
0,2
6,18
1,9
1,1
0,3
1,4
0,3
2,2
0,1
0,2
0,2
0,1
0,3
2,2
0,1
0,7
2,1
1,1
0,1
10,27
5,1
0,1
1,1
0,2
0,2
1,1
6,11
0,3
0,3
0,2
1,3
0,3
1,1
1,2
0,2
0,7
3,1
0,1
0,3
1,12
0,4
2,2
1,4
1,1
2,5
1,1
2,1
0,1
1,1
1,11
0,1
0,2
1,2
0,1
1,2
0,1
2,3
7,32
0,2
5,19
0,1
1,1
1,3
0,1
1,6
0,2
1,3
0,1
0,2
0,3
0,2
1,1
0,1
14,66
1,5
0,2
0,2
0,1
33,146
7,28
0,1
0,6
0,1
1,2
1,8
3,8
2,7
0,1
3,19
9,26
1,2
2,7
2,9
0,1
2,2
5,24
0,2
1,1
4,12
2,7
2,3
3,16
0,1
2,5
1,6
32,155
1,3
2,17
3,1
1,2
1,5
1,3
1,3
0,3
1,2
11,37
0,1
1,1
2,7
1,5
0,1
0,3
0,1
5,15
3,4
4,7
1,2
0,1
4,2
2,3
0,2
1,5
1,1
8,3
0,1
0,1
0,3
11,46
1,4
0,1
0,1
3,14
0,5
0,1
2,5
2,4
5,29
4,17
0,1
3,12
0,4
1,1
4,9
1,12
1,1
3,16
5,15
1,2
4,27
1,2
0,2
2,2
2,11
2,11
3,9
0,1
0,1
0,1
5,5
3,12
1,2
11,35
3,4
1,4
1,9
0,2
0,4
0,1
0,1
0,3
1,1
0,1
1,9
2,6
1,1
0,3
1,3
0,1
1,2
4,14
0,3
4,14
1,8
50,174
1,8
0,2
2,4
4,13
4,21
0,5
3,7
0,2
0,4
1,1
4,14
2,4
1,2
0,1
3,5
0,3
0,1
13,45
0,2
0,1
0,3
8,22
20,102
1,2
4,1
3,9
2,8
5,8
4,17
4,17
0,6
0,1
9,43
3,8
0,2
3,5
1,6
2,4
0,3
1,1
2,4
1,1
2,3
0,1
7,18
7,48
2,3
0,2
1,3
0,3
1,3
10,29
1,3
2,1
0,3
0,1
0,4
0,3
0,1
2,15
1,1
18,85
1,4
0,2
34,176
12,44
1,9
1,7
0,1
2,5
0,2
1,3
1,6
3,8
1,3
1,13
0,4
1,6
0,1
4,11
1,1
1,1
1,7
6,21
0,1
0,1
0,1
11,4
0,1
0,1
0,2
0,2
2,4
2,6
